date,user,bedtime,in_experimental_group,intended_bedtime,fitness,adherence_importance,rise_reason,risetime
"2015-06-07","19",2015-06-08 00:11:14.272,False,2015-06-07 23:30:00,61.0,65.0,True,2015-06-07 09:00:00
"2015-06-07","31",2015-06-08 00:11:55.252,False,2015-06-08 01:00:00,36.0,65.0,True,2015-06-07 09:00:00
"2015-06-07","26",2015-06-08 00:32:43.241,True,2015-06-07 23:00:00,8.0,49.0,True,2015-06-07 11:35:00
"2015-06-08","1",2015-06-09 01:48:41.540,False,2015-06-09 00:00:00,12.0,78.0,True,2015-06-08 11:00:00
"2015-06-08","30",2015-06-08 23:23:54.768,False,2015-06-08 23:30:00,55.0,75.0,True,2015-06-08 06:35:00
"2015-06-08","29",2015-06-09 00:07:22.610,False,2015-06-08 23:30:00,40.0,89.0,True,2015-06-08 06:30:00
"2015-06-08","37",2015-06-09 01:08:38.625,False,2015-06-08 23:00:00,6.0,70.0,True,2015-06-08 08:05:00
"2015-06-08","10",2015-06-08 23:17:51.408,True,2015-06-08 23:00:00,63.0,95.0,True,2015-06-08 06:30:00
"2015-06-08","18",2015-06-08 22:53:32.470,True,2015-06-08 23:00:00,67.0,71.0,True,2015-06-08 07:15:00
"2015-06-08","22",2015-06-08 23:04:28.488,True,2015-06-08 22:30:00,47.0,79.0,True,2015-06-08 07:15:00
"2015-06-08","20",2015-06-09 00:10:28.751,True,2015-06-08 23:30:00,60.0,73.0,False,2015-06-08 07:15:00
"2015-06-08","12",2015-06-08 23:12:40.916,True,2015-06-08 23:30:00,68.0,70.0,True,2015-06-08 07:45:00
"2015-06-08","31",2015-06-09 01:22:22.267,False,2015-06-09 00:30:00,68.0,82.0,True,2015-06-08 08:20:00
"2015-06-08","9",,False,2015-06-08 23:00:00,63.0,47.0,True,2015-06-08 06:45:00
"2015-06-08","36",2015-06-08 22:21:55.870,False,2015-06-08 22:30:00,49.0,63.0,True,2015-06-08 07:15:00
"2015-06-08","32",,False,2015-06-09 01:00:00,58.0,74.0,True,2015-06-08 09:30:00
"2015-06-08","34",2015-06-08 23:14:31.026,False,2015-06-08 22:30:00,45.0,46.0,True,2015-06-08 07:00:00
"2015-06-08","19",2015-06-08 23:51:44.101,False,2015-06-08 23:30:00,54.0,57.0,True,2015-06-08 08:30:00
"2015-06-08","26",2015-06-08 23:27:41.282,True,2015-06-08 23:00:00,51.0,34.0,True,2015-06-08 07:00:00
"2015-06-09","20",2015-06-10 00:03:16.890,True,2015-06-09 23:40:00,71.0,70.0,False,2015-06-09 07:50:00
"2015-06-09","29",2015-06-10 00:13:43.203,False,2015-06-09 23:30:00,60.0,80.0,True,2015-06-09 07:30:00
"2015-06-09","26",2015-06-10 01:33:24.462,True,2015-06-09 23:00:00,50.0,15.0,True,2015-06-09 09:00:00
"2015-06-09","1",2015-06-10 01:41:17.349,False,2015-06-10 00:00:00,74.0,100.0,True,2015-06-09 10:30:00
"2015-06-09","10",2015-06-09 23:06:07.406,True,2015-06-09 23:00:00,22.0,100.0,True,2015-06-09 09:30:00
"2015-06-09","37",,False,2015-06-09 23:00:00,23.0,100.0,True,2015-06-09 08:00:00
"2015-06-09","34",2015-06-09 23:26:45.581,False,2015-06-09 23:00:00,49.0,38.0,True,2015-06-09 07:30:00
"2015-06-09","9",,False,2015-06-10 00:00:00,82.0,53.0,True,2015-06-09 06:45:00
"2015-06-09","30",2015-06-09 23:30:03.875,False,2015-06-09 23:30:00,69.0,49.0,True,2015-06-09 05:30:00
"2015-06-09","31",2015-06-10 00:15:37.343,False,2015-06-10 00:30:00,42.0,71.0,True,2015-06-09 07:00:00
"2015-06-09","22",2015-06-09 22:31:49.046,True,2015-06-09 22:30:00,46.0,61.0,True,2015-06-09 06:00:00
"2015-06-09","36",2015-06-09 23:40:49.706,False,2015-06-09 22:30:00,50.0,59.0,True,2015-06-09 08:00:00
"2015-06-09","32",2015-06-09 22:14:58.729,False,2015-06-09 22:30:00,12.0,84.0,True,2015-06-09 10:00:00
"2015-06-09","18",,True,2015-06-09 23:30:00,64.0,59.0,True,2015-06-09 06:45:00
"2015-06-09","12",2015-06-09 23:32:06.363,True,,,,,
"2015-06-09","19",2015-06-10 00:02:05.888,False,,,,,
"2015-06-10","30",2015-06-11 01:22:05.240,False,2015-06-10 23:30:00,81.0,71.0,True,2015-06-10 06:50:00
"2015-06-10","20",2015-06-11 00:28:10.376,True,2015-06-10 23:30:00,51.0,85.0,True,2015-06-10 10:00:00
"2015-06-10","1",2015-06-11 02:33:23.483,False,2015-06-11 01:00:00,53.0,76.0,True,2015-06-10 10:00:00
"2015-06-10","37",2015-06-11 00:35:48.958,False,2015-06-10 23:30:00,36.0,100.0,True,2015-06-10 07:45:00
"2015-06-10","22",2015-06-10 22:32:58.479,True,2015-06-10 22:45:00,76.0,35.0,False,2015-06-10 07:45:00
"2015-06-10","10",,True,2015-06-10 23:00:00,55.0,100.0,False,2015-06-10 06:30:00
"2015-06-10","34",2015-06-11 00:51:29.017,False,2015-06-10 23:00:00,42.0,56.0,True,2015-06-10 07:30:00
"2015-06-10","31",2015-06-11 01:50:34.317,False,2015-06-11 00:30:00,65.0,67.0,True,2015-06-10 08:50:00
"2015-06-10","36",2015-06-10 23:06:45.247,False,2015-06-10 22:30:00,46.0,70.0,True,2015-06-10 07:30:00
"2015-06-10","18",2015-06-10 23:07:38.878,True,2015-06-10 23:30:00,72.0,20.0,True,2015-06-10 06:45:00
"2015-06-10","32",2015-06-10 23:28:47.814,False,2015-06-10 23:00:00,65.0,70.0,True,2015-06-10 11:00:00
"2015-06-10","12",2015-06-10 22:51:54.256,True,2015-06-10 23:30:00,51.0,80.0,True,2015-06-10 07:45:00
"2015-06-10","19",2015-06-11 00:14:22.753,False,2015-06-11 00:00:00,95.0,53.0,True,2015-06-10 08:00:00
"2015-06-10","29",2015-06-10 23:37:57.681,False,2015-06-10 23:45:00,50.0,0.0,False,2015-06-10 06:30:00
"2015-06-10","26",2015-06-11 00:25:08.538,True,2015-06-10 23:00:00,62.0,80.0,True,2015-06-10 09:30:00
"2015-06-11","9",,False,2015-06-12 00:00:00,75.0,49.0,True,2015-06-11 08:00:00
